id,name,price,cost,weight_grams
bk-001,The Art of Spending Money,159,,
bk-002,The Art of Clarity,159,,
bk-003,Don't sweat the small stuff,129,,
bk-004,Letters to Milena,139,,
bk-005,Atomic Habits,139,,
bk-006,The Psychology of Money,139,,
bk-007,Surrounded by Idiots,139,,
bk-008,The Palace of Illusions,159,,
bk-009,The Courage to Be Disliked,159,,
bk-010,The Subtle Art of Not Giving a F*ck,129,,
bk-011,Talking with Psychopaths,149,,
bk-012,The Laws of Human Nature,329,,
bk-013,The 48 Laws of Power,319,,
bk-014,Diary of a CEO,179,,
bk-015,Red Flags and Rishtas,159,,
bk-016,The Inmate,149,,
bk-017,The Housemaid,139,,
bk-018,The Housemaid's Secret,139,,
bk-019,The Housemaid Is Watching,139,,
bk-020,The Locked Door,139,,
bk-021,Never Lie,139,,
bk-022,Days at the Morisaki Bookshop,139,,
bk-023,More Days at the Morisaki Bookshop,139,,
bk-024,All He'll Ever Be,239,,
bk-025,Was I Ever Enough,139,,
bk-027,Can We Be Strangers Again,139,,
bk-028,Thank You for Leaving,129,,
bk-029,Too Good to Be True,159,,
bk-030,I Don't Love You Anymore,109,,
bk-031,Don't Believe Everything You Think,109,,
bk-032,The Art of Not Overthinking,109,,
bk-033,The Art of Laziness,149,,
bk-034,The Art of Being Alone,139,,
bk-035,The Art of Reading People's Mind,139,,
bk-036,The 5 Types of Wealth,199,,
bk-037,The Let Them Theory,189,,
bk-038,The First 90 Days,189,,
bk-039,Life's Amazing Secret,139,,
bk-040,Energize Your Mind,139,,
bk-041,The Kite Runner,169,,
bk-042,A Thousand Splendid Suns,169,,
bk-043,And the Mountains Echoed,159,,
bk-044,The Mountain Is You,149,,
bk-045,Before the Coffee Gets Cold,139,,
bk-046,Tales from the Cafe,139,,
bk-047,Before Your Memory Fades,139,,
bk-048,Before We Say Goodbye,139,,
bk-049,Before We Forget Kindness,139,,
bk-050,Twisted Love,159,,
bk-051,Twisted Games,179,,
bk-052,Twisted Hate,179,,
bk-053,Twisted Lies,179,,
bk-054,King of Wrath,179,,
bk-055,King of Pride,179,,
bk-056,King of Greed,169,,
bk-057,King of Sloth,169,,
bk-058,The God of Small Things,159,,
bk-059,Forest of Enhancement,189,,
bk-060,The Last Queen,189,,
bk-061,Ugly Love,159,,
bk-062,A Little Life,339,,
bk-063,Dark Matter,179,,
bk-064,Verity,189,,
bk-065,Zero to One,149,,
bk-066,The $100 Startup,149,,
bk-067,The Lean Startup,159,,
bk-068,The Hard Thing About Hard Things,189,,
bk-069,Blue Ocean Strategy,189,,
bk-070,Ram Sita Raavan,509,,
bk-071,Ram: Scion of Ikshvaku,159,,
bk-072,Sita: Warrior of Mithila,189,,
bk-073,Raavan: Enemy of Aryavarta,189,,
bk-074,"The Shiva Trilogy: Meluha, Nagas & Vayaputra",509,,
bk-075,The Immortals of Meluha,159,,
bk-076,The Secret of the Nagas,159,,
bk-077,The Oath of the Vayaputras,239,,
bk-078,Mahagatha: 100 Tales from the Puranas,189,,
bk-079,The Naga Warrior,169,,
bk-080,The Gita: For Children,149,,
bk-081,Myth = Mythya,149,,
bk-082,The Bhagavad Gita,289,,
bk-083,The Hidden Hindu,429,,
bk-084,Mahabharat Unraveled,159,,
bk-085,Ramayan Unraveled,159,,
bk-086,The Metamorphosis,109,,
bk-087,The Trial,129,,
bk-088,Notes from Underground,109,,
bk-089,Crime and Punishment,199,,
bk-090,White Nights,109,,
bk-091,The Alchemist,109,,
bk-092,Haunting Adeline,209,,
bk-093,Hunting Adeline,209,,
bk-094,Pride and Prejudice,159,,
bk-095,Make Epic Money,159,,
bk-096,Do Epic Shit,189,,
bk-097,Get Epic Shit Done,189,,
bk-098,Dark Psychology,139,,
bk-099,"Red, White & Royal Blue",189,,
bk-101,The Love Hypothesis,159,,
bk-102,Love from Lahore,159,,
bk-103,"Love, Theoretically",189,,
bk-104,Icebreaker,189,,
bk-105,Wildfire,169,,
bk-106,Family of Liars,159,,
bk-107,Before the Coffee Gets Cold Series Set,609,,
bk-108,Jujutsu Kaisen Set (Volumes 1-21),2239,,
bk-109,Harry Potter Series Set (Books 1-7),1409,,
bk-110,Agatha Christie Classic Collection Set,709,,
bk-111,Dark Verse Series Set,659,,
bk-112,A Good Girl's Guide to Murder Series Set,489,,
bk-113,Kings of Sin Series Set,659,,
bk-114,Twisted Series Set,659,,
bk-115,The Shiva Trilogy Set,509,,
bk-116,Chainsaw Man Set (Volumes 1-11+),2509,,
bk-117,Diary of a Wimpy Kid Series Set,1809,,
bk-118,The Lord of the Rings Trilogy Set,459,,
bk-119,The Hunger Games Trilogy Set,659,,
bk-120,A Good Girl's Guide to Murder,159,,
bk-121,"Good Girl, Bad Blood",189,,
bk-122,As Good As Dead,209,,
bk-123,The Seven Husbands of Evelyn Hugo,189,,
bk-124,And Then There Were None,159,,
bk-125,The Murder of Roger Ackroyd,159,,
bk-126,Murder on the Orient Express,159,,
bk-127,Death on the Nile,159,,
bk-128,The A.B.C. Murders,159,,
bk-129,A Murder Is Announced,159,,
bk-130,The Almanack of Naval Ravikant,159,,
bk-131,Crucial Conversations: Tools for Talking When Stakes Are High,159,,
bk-132,Breaking the Habit of Being Yourself,209,,
bk-133,Everything I Know About Love,179,,
bk-134,Becoming Supernatural,189,,
bk-135,You Are the Placebo,209,,
bk-517,"Thinking, Fast and Slow",209,,
bk-137,The Hidden Hindu: Book 1,159,,
bk-138,The Hidden Hindu: Book 2,159,,
bk-139,The Hidden Hindu: Book 3,189,,
bk-140,The Secret,139,,
bk-141,The Magic,139,,
bk-142,The Power,139,,
bk-143,No Excuses!,179,,
bk-144,Influence: The Psychology of Persuasion,189,,
bk-145,The Silent Patient,159,,
bk-146,Can't Hurt Me,189,,
bk-147,Master Your Emotions,159,,
bk-148,Make Time,159,,
bk-150,The Courage to Be Happy,159,,
bk-151,Mindset: The New Psychology of Success,149,,
bk-152,Kafka on the Shore,209,,
bk-153,Norwegian Wood,169,,
bk-154,Sputnik Sweetheart,159,,
bk-155,Men Without Women,139,,
bk-156,My Friends,199,,
bk-157,Anxious People,179,,
bk-158,Mossad: The Greatest Missions of the Israeli Secret Service,189,,
bk-159,Commando,179,,
bk-160,You've Reached Sam,159,,
bk-161,Ignited Minds: Unleashing the Power Within India,139,,
bk-162,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",209,,
bk-163,"Lean In: Women, Work, and the Will to Lead",159,,
bk-164,The Design of Everyday Things,189,,
bk-165,"Men Are from Mars, Women Are from Venus",189,,
bk-166,The Guest List,179,,
bk-167,The One Thing,159,,
bk-168,Why We Sleep,199,,
bk-169,Manifest (Price Drop),1,,
bk-170,The Psychology of Money (Price Drop),1,,
bk-171,The Subtle Art of Not Giving a F*ck (Price Drop),1,,
bk-173,The Art of Laziness (Price Drop),1,,
bk-174,I Don't Love You Anymore (Price Drop),1,,
bk-175,Don't Believe Everything You Think (Price Drop),1,,
bk-176,The Art of Not Overthinking (Price Drop),1,,
bk-177,The Metamorphosis (Price Drop),1,,
bk-178,Notes from Underground (Price Drop),1,,
bk-179,White Nights (Price Drop),1,,
bk-180,The Alchemist (Price Drop),1,,
bk-181,Don't Sweat the Small Stuff (Price Drop),1,,
bk-182,Thank You for Leaving (Price Drop),1,,
bk-183,The Trial (Price Drop),1,,
bk-184,Manifest: 7 Steps to Living Your Best Life ,139,,
bk-185,Diwar Mein Ek Khidki Rahti Thi,149,,
bk-186,Wise and Otherwise: A Salute to Life,139,,
bk-187,Three Thousand Stitches,139,,
bk-188,The Day I Stopped Drinking Milk,139,,
bk-189,The Old Man and His God,139,,
bk-190,Something Happened on the Way to Heaven,139,,
bk-191,"Here, There and Everywhere",139,,
bk-192,Common Yet Uncommon,139,,
bk-193,Dollar Bahu,139,,
bk-194,Mahashweta,139,,
bk-195,Gently Falls the Bakula,139,,
bk-196,House of Cards,139,,
bk-197,The Mother I Never Knew,139,,
bk-198,Grandma's Bag of Stories,139,,
bk-199,Grandparents' Bag of Stories,139,,
bk-200,The Magic of the Lost Temple,139,,
bk-201,The Gopi Diaries (Series),139,,
bk-202,How I Taught My Grandmother to Read,139,,
bk-203,The Bird with Golden Wings,139,,
bk-204,The Magic Drum,139,,
bk-205,How the Earth Got Its Beauty,139,,
bk-206,How the Sea Became Salty,139,,
bk-207,How the Onion Got Its Layers,139,,
bk-208,How the Mango Got Its Magic,139,,
bk-209,The Serpent's Revenge,139,,
bk-210,The Upside-Down King,139,,
bk-211,The Man from the Egg,139,,
bk-212,The Sage with Two Horns,139,,
bk-213,Wings of Fire,149,,
bk-214,The Diary of a Young Girl,149,,
bk-215,Autobiography of a Yogi,209,,
bk-216,Becoming,239,,
bk-217,Shoe Dog,189,,
bk-218,I Am Malala,149,,
bk-219,When Breath Becomes Air,209,,
bk-220,Steve Jobs,239,,
bk-221,Elon Musk,239,,
bk-222,Mother Mary Comes to Me,209,,
bk-223,The Teacher,149,,
bk-224,Ward D,139,,
bk-227,The Ex,159,,
bk-228,The Crash,159,,
bk-229,The Coworker,159,,
bk-230,Dead Med,209,,
bk-231,Dear Debbie,199,,
bk-232,Do You Remember,149,,
bk-233,The Wife Upstairs,149,,
bk-234,Fourth Wing,229,,
bk-235,Iron Flame,239,,
bk-236,Onyx Storm,249,,
bk-237,The Fine Print,209,,
bk-238,Terms and Conditions,209,,
bk-239,Final Offer,239,,
bk-240,Dreamland Billionaires Series,559,,
bk-241,Ghosts,199,,
bk-242,Good Material,199,,
bk-244,Dopamine Detox,109,,
bk-245,The Art of Letting Go,139,,
bk-246,The Art of Saying No,139,,
bk-247,The Curse of Letting Go,129,,
bk-248,How to Read a Book,199,,
bk-249,Dark Psychology and Manipulation,119,,
bk-250,The Body Keeps the Score,209,,
bk-251,8 Rules of Love,179,,
bk-252,You Become What You Think,129,,
bk-253,"Build, Don't Talk",139,,
bk-254,Execution,199,,
bk-255,I Want to Die but I Want to Eat Tteokbokki,139,,
